,Name,Team,Position,Age, Value ,Minutes,BirthNation,Height,Similarity
117,N. Matic,Manchester United,"LDMF, LCMF",32," € 16,000,000.00 ",1722,Serbia,194,1
479,N. Petrovic,Crvena Zvezda,"RDMF, RCMF, LCMF",21," € 2,000,000.00 ",1615,Serbia,185,0.922575651
200,Adrien Silva,Sampdoria,"DMF, RCMF, LCMF",31," € 8,000,000.00 ",1319,France,175,0.913237513
808,S. Brown,Celtic,"RDMF, DMF",35," € 1,000,000.00 ",2687,Scotland,165,0.911804776
87,Matheus Henrique,Gremio,"RDMF, LDMF, RCMF",22," € 20,000,000.00 ",1895,Brazil,175,0.907785224
119,W. Barrios,Zenit,"LCMF, RCMF, DMF",27," € 16,000,000.00 ",2368,Colombia,178,0.90675726
430,R. Sawyers,West Bromwich Albion,"LDMF, DMF, RDMF",28," € 3,000,000.00 ",4026,England,175,0.906529529
963,F. Lemoine,Lorient,"RCMF, RDMF",33," € 800,000.00 ",2283,France,175,0.901907758
232,P. Rosario,PSV,"RDMF, RCMF",23," € 7,000,000.00 ",2376,Netherlands,188,0.900905723
1174,Y. Demoncy,Orleans,"RCMF, DMF, RCMF3",24," € 550,000.00 ",1626,France,180,0.898798933
358,P. Aquino,Leon,"RCMF, LCMF, RDMF",25," € 3,000,000.00 ",1131,Peru,175,0.898182041
779,J. Corona,LA Galaxy,"LCMF, RCMF, LCMF3",30," € 1,000,000.00 ",2506,USA,180,0.898113904
255,Lucas Leiva,Lazio,DMF,33," € 6,000,000.00 ",1904,Brazil,179,0.897989043
1238,M. Mellado,OFI,"DMF, RDMF, LDMF",27," € 500,000.00 ",1978,Argentina,176,0.897953287
509,M. Frendrup,Brondby,"DMF, RCMF, LCMF",19," € 2,000,000.00 ",1894,Denmark,178,0.897297592
585,J. van Overeem,Utrecht,"RDMF, DMF, LCMF",26," € 1,000,000.00 ",1076,Netherlands,181,0.896955688
43,I. Bennacer,Milan,"DMF, RDMF, LDMF",22," € 33,000,000.00 ",2650,France,175,0.896737988
884,A. Colombino,Wanderers,"LCMF, LDMF, DMF",27," € 900,000.00 ",1270,Uruguay,176,0.892405814
1189,F. Tardieu,Troyes,"DMF, LCMF, LDMF",28," € 550,000.00 ",2414,France,184,0.891911818
21,M. Pjanic,Barcelona,"DMF, LCMF",30," € 50,000,000.00 ",2431,Bosnia and Herzegovina,178,0.891344186
74,M. de Roon,Atalanta,"RCMF, LCMF",29," € 23,000,000.00 ",2903,Netherlands,185,0.889666726
